english level (4),exclamation (exclam.) (20),preposition (prep.) (59),indefinite article (2),definite article (1),determiner (det.) (42),adjectives (adj.) (650),noun (n.) (1798),pronoun (pron.) (76),adverbs (adv.) (263),infinitive marker (1),verb (v.) (814),modal verb(v.) (14),auxiliary verb(v.) (3),conjunction (conj.) (30),number (37)
,,,,,,curly,behaviour,,finally,,complain,,,,
,,,,,,daily,belt,,firstly,,connect,,,,
,,,,,,dead,benefit,,fortunately,,consider,,,,
,,,,,,deep,best,,forward,,contain,,,,
,,,,,,digital,bin,,free,,continue,,,,
,,,,,,direct,biology,,half,,control,,,,
,,,,,,divorced,birth,,happily,,copy,,,,
,,,,,,double,biscuit,,high,,count,,,,
,,,,,,downstairs,bit,,immediately,,cover,,,,
,,,,,,dry,blank,,inside,,cross,,,,
,,,,,,electric,blood,,instead,,cry,,,,
,,,,,,electrical,board,,last,,cycle,,,,
,,,,,,electronic,bone,,least,,deal,,,,
,,,,,,empty,boss,,less,,depend,,,,
,,,,,,enormous,bottom,,little,,destroy,,,,
,,,,,,everyday,bowl,,loud,,develop,,,,
,,,,,,exact,brain,,loudly,,disagree,,,,
,,,,,,excellent,bridge,,low,,disappear,,,,
,,,,,,expert,brush,,mostly,,discover,,,,
,,,,,,extreme,businessman,,nearly,,double,,,,
,,,,,,fair,button,,normally,,download,,,,
,,,,,,female,camp,,nowhere,,dream,,,,
,,,,,,fit,camping,,past,,drop,,,,
,,,,,,flat,can,,per cent,,dry,,,,
,,,,,,flying,care,,perhaps,,earn,,,,
,,,,,,following,carpet,,quietly,,employ,,,,
,,,,,,foreign,cartoon,,rather,,enter,,,,
,,,,,,formal,case,,recently,,exist,,,,
,,,,,,fresh,cash,,round,,expect,,,,
,,,,,,fun,castle,,sadly,,express,,,,
,,,,,,further,cause,,second,,fail,,,,
,,,,,,future,celebrity,,secondly,,farm,,,,
,,,,,,general,chance,,slowly,,feed,,,,
,,,,,,gold,character,,somewhere,,fight,,,,
,,,,,,heavy,charity,,straight,,film,,,,
,,,,,,helpful,chat,,suddenly,,fish,,,,
,,,,,,home,check,,sure,,fit,,,,
,,,,,,huge,chef,,underground,,fix,,,,
,,,,,,human,chemistry,,unfortunately,,focus,,,,
,,,,,,hurt,chip,,yet,,greet,,,,
,,,,,,ideal,choice,,,,guide,,,,
,,,,,,ill,church,,,,heat,,,,
,,,,,,impossible,cigarette,,,,hide,,,,
,,,,,,included,circle,,,,hit,,,,
,,,,,,incredible,climate,,,,hold,,,,
,,,,,,independent,clothing,,,,hurt,,,,
,,,,,,individual,cloud,,,,identify,,,,
,,,,,,informal,coach,,,,increase,,,,
,,,,,,inside,coast,,,,invent,,,,
,,,,,,intelligent,code,,,,invite,,,,
,,,,,,international,colleague,,,,involve,,,,
,,,,,,later,column,,,,joke,,,,
,,,,,,lazy,comedy,,,,jump,,,,
,,,,,,light,comment,,,,kill,,,,
,,,,,,likely,community,,,,knock,,,,
,,,,,,lost,competition,,,,land,,,,
,,,,,,loud,condition,,,,last,,,,
,,,,,,lovely,conference,,,,lead,,,,
,,,,,,low,context,,,,lecture,,,,
,,,,,,lucky,continent,,,,lend,,,,
,,,,,,major,control,,,,lift,,,,
,,,,,,male,cook,,,,light,,,,
,,,,,,medical,cooker,,,,link,,,,
,,,,,,middle,copy,,,,lock,,,,
,,,,,,missing,corner,,,,mail,,,,
,,,,,,mobile,couple,,,,manage,,,,
,,,,,,musical,credit,,,,mark,,,,
,,,,,,narrow,crime,,,,marry,,,,
,,,,,,national,criminal,,,,matter,,,,
,,,,,,necessary,cross,,,,mention,,,,
,,,,,,nervous,crowd,,,,mind,,,,
,,,,,,noisy,cupboard,,,,notice,,,,
,,,,,,normal,cycle,,,,number,,,,
,,,,,,ordinary,danger,,,,offer,,,,
,,,,,,original,dark,,,,organize,,,,
,,,,,,outside,data,,,,own,,,,
,,,,,,particular,death,,,,pack,,,,
,,,,,,per cent,decision,,,,pass,,,,
,,,,,,physical,degree,,,,perform,,,,
,,,,,,plastic,dentist,,,,photograph,,,,
,,,,,,pleased,department,,,,pick,,,,
,,,,,,polite,desert,,,,plant,,,,
,,,,,,pop,designer,,,,please,,,,
,,,,,,professional,detective,,,,predict,,,,
,,,,,,public,device,,,,present,,,,
,,,,,,recent,diary,,,,prevent,,,,
,,,,,,regular,direction,,,,print,,,,
,,,,,,round,director,,,,produce,,,,
,,,,,,rude,disaster,,,,promise,,,,
,,,,,,safe,discovery,,,,pronounce,,,,
,,,,,,scared,discussion,,,,protect,,,,
,,,,,,scary,disease,,,,provide,,,,
,,,,,,secret,distance,,,,publish,,,,
,,,,,,separate,document,,,,pull,,,,
,,,,,,serious,download,,,,push,,,,
,,,,,,shut,drama,,,,question,,,,
,,,,,,silver,drawing,,,,race,,,,
,,,,,,simple,dream,,,,raise,,,,
,,,,,,single,drive,,,,reach,,,,
,,,,,,ski,driving,,,,react,,,,
,,,,,,social,drug,,,,realize,,,,
,,,,,,soft,earth,,,,receive,,,,
,,,,,,specific,education,,,,recognize,,,,
,,,,,,square,effect,,,,recommend,,,,
,,,,,,straight,electricity,,,,record,,,,
,,,,,,strange,employee,,,,recycle,,,,
